experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E27_rule_transfer,0xA307,6dc63e8,transfer_translation,MODE_2_DYNAMIC_FIELD,0.992448,0.987932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,513d224f8ac796fae382af8ad04d8ee22ee87ee46f8d1f8e14f5b858558381b1,LOCKED,CLEAN,268800,PARTIAL,true,"B1=0.992 B2=0.992 B3=0.984; targets never in consolidation"
E28_continual_forgetting,0xA307,6dc63e8,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.995382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,537600,PARTIAL,true,"R1..R4 retention [0.9950216960477946, 0.9899652012588915, 0.9982909352316066, 0.9982495922503234] forgetting=-0.003; CDT regularity replay"
E29_causal_intervention,0xA307,6dc63e8,,,0.995256,0.978889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,9ea1411d86f7dfa6729aeef06694b97d1cb1b40a2c244f1c27822f84d6cbf855,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.995 targeted=0.681 random=0.995 rollback=0.995; drop_t=0.314 drop_r=0.001 rollback_ok=true"
E30_serialize_reload_persistence,0xA307,6dc63e8,,,0.994617,0.982221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,5b82b8872fdf8dccaa78553da3ed4c17de1932f3b1eeef0e9fb593788ccd647e,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.995 P1(enc+dyn)=0.995 P2(dyn+fresh_enc)=0.526 P3(cdt_stats)=0.982; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA308,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA308,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.990648,0.995084,0.990192,0.976487,0.000000,0.000779,0.130544,1.000000,0.999918,0.000000,0,80,20,24,df38a1518f500eff844089a187beff546a30eb4c5c478c5dea5ef14eaaf71b84,LOCKED,CLEAN,296295,NULL,true,"continuous T; X_new/B_new outside train; MSE=0.0008 rel=0.1305 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C8,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.949371,0.979032,0.961233,0.957152,0.000000,0.004219,0.318038,1.000000,0.999942,-0.133971,0,80,20,24,cb3ba00916ae9955821dccf5220a3ec0545d58bb5ac0ac0f6567562a6ab33a70,LOCKED,CLEAN,296372,PARTIAL,true,"C0=0.949 C1=0.949 C2=0.815 C3=0.885 C4=0.963 C5=0.927 C6=0.870; gain=-0.134; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD11,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.982776,0.993374,0.985740,0.972664,0.000000,0.001435,0.184168,1.000000,0.999956,0.000000,0,80,20,24,22d2e7140b2f33a2ac991a3fce0ef8a432fb9105b83b6dd55b0acaea9abbece8,LOCKED,CLEAN,296318,NULL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA308,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.981435,0.999002,0.982367,0.952862,0.000000,0.001547,0.191040,1.000000,0.999906,0.000000,0,80,20,24,f96b7759ed133e4e3aae4d57c1d662da117d07bbe5484be420bfd9b9009ce072,LOCKED,CLEAN,296295,PARTIAL,true,"rule_cos=0.981 traj_cos=0.999 anti_cos=0.987; antimem_drop=-0.006"
E21_interpolation_vs_extrapolation,0xA308,6dc63e8,translation_param,MODE_2_DYNAMIC_FIELD,0.983328,0.993280,0.986810,0.976735,0.000000,0.001389,0.181714,1.000000,0.999968,0.000000,0,108,20,24,596fd9054005c9932c9a8ab89abdda344969d0f31621c7cb8e2572a26a2f29e9,LOCKED,CLEAN,400124,NULL,true,"interp_cos=0.990 extrap_cos=0.983 (dx denser curriculum; action geom-norm +0.25; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xA308,6dc63e8,compose,MODE_2_DYNAMIC_FIELD,0.957965,0.975673,0.840011,0.672257,0.000000,0.002617,0.250539,1.000000,0.999951,0.000000,0,120,0,24,15f2f6fef2f7c388345afe066354f314dbd51eacdb242b5364420b62a8ab81c2,LOCKED,CLEAN,444353,NULL,true,"seq-oracle compose RQM-OFF cos=0.958 static=0.976 step1=0.986; single-shot compose action cos=0.969; controls linear=0.840 nn=0.672 table=0.000"
E23_rollout_no_teacher_forcing,0xA308,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,-0.357150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.966357,0.000000,0,80,0,24,05d9d26210e6ad519373f7a75c17201398b846e3010a0157355f05d0fd077e7d,LOCKED,CLEAN,296372,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9981542184650429, 0.9952688016572148, 0.9906702098334418, 0.96635721423224, 0.8702060549103848, 0.6383673609696193, -0.3571501947035643] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA308,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.982132,0.983244,0.964941,0.969143,0.000000,0.001489,0.187027,1.000000,0.999949,0.000000,0,80,0,24,19a1d151ed3beb078fab36d74bdaf47728a87acb85ccf57040d87ae3135f6ad1,LOCKED,CLEAN,268800,NULL,true,"delta_mean=-0.0011 median=-0.0016 std=0.0093 bootstrap95%=[-0.0053,0.0026] effect≈-0.119"
E25_central_experience_cdt_cycle,0x4153,6dc63e8,scaling,MODE_2_DYNAMIC_FIELD,0.987657,0.997527,0.994571,0.988766,0.000000,0.001029,0.152009,1.000000,0.999932,-0.003687,0,80,20,24,6aecd0e3900aa8f81f827e31cc6d1402e3bf211e8b2a9ad75018a9f2b7eba564,LOCKED,CLEAN,296288,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.988 without=0.991 gain=-0.004; Y_new_unstored=true; memories OFF at eval"
