experiment,commit,seed,n,train,unseen,ood,acc_seen,acc_unseen,acc_ood,mean_us,p50,p95,p99,top1,top2,margin,energy,abstentions,liquid,rqm,sleep_ms,engrams_before,engrams_after,verdict
E8_representation_invariance,c59b9fe,952592,15,1,3,8,1.000000,1.000000,0.500000,83.942400,82.211000,96.751000,99.205000,0.698022,0.000000,0.228752,0.359505,4,0,0,0.000000,0,2,PARTIAL_PASS: stem/paraphrase attractor match; cross-lingual not claimed (lexicon)
E9_relational_composition,c59b9fe,952592,8,3,3,1,1.000000,1.000000,1.000000,22.483286,26.660000,39.801000,39.801000,0.872188,0.031077,0.841111,0.137145,0,1,6,2.674161,0,3,PASS: direct + composed hops via RQM walk (no transitive teach)
E10_future_prediction,c59b9fe,952592,8,10,4,1,1.000000,1.000000,1.000000,25.979375,30.775000,43.882000,43.882000,0.874412,0.029872,0.844539,0.134560,0,1,7,2.750798,0,3,PASS_PARTIAL: distance/bifurcation/perturbation via compose+wave
E8_representation_invariance,c59b9fe,952593,15,1,3,8,1.000000,1.000000,0.625000,93.682067,91.215000,111.665000,119.668000,0.634035,0.000000,0.209691,0.455652,3,0,0,0.000000,0,2,PARTIAL_PASS: stem/paraphrase attractor match; cross-lingual not claimed (lexicon)
E9_relational_composition,c59b9fe,952593,8,3,3,1,1.000000,1.000000,1.000000,24.637429,29.708000,44.708000,44.708000,0.872188,0.031077,0.841111,0.137145,0,1,6,2.611868,0,3,PASS: direct + composed hops via RQM walk (no transitive teach)
E10_future_prediction,c59b9fe,952593,8,10,4,1,1.000000,1.000000,1.000000,26.926500,29.837000,45.167000,45.167000,0.874412,0.029872,0.844539,0.134560,0,1,7,2.873565,0,3,PASS_PARTIAL: distance/bifurcation/perturbation via compose+wave
E8_representation_invariance,c59b9fe,952594,15,1,3,8,1.000000,1.000000,0.500000,84.919133,83.555000,90.389000,97.553000,0.699918,0.000000,0.228754,0.356793,4,0,0,0.000000,0,2,PARTIAL_PASS: stem/paraphrase attractor match; cross-lingual not claimed (lexicon)
E9_relational_composition,c59b9fe,952594,8,3,3,1,1.000000,1.000000,1.000000,24.614286,26.995000,48.781000,48.781000,0.872188,0.031077,0.841111,0.137145,0,1,6,2.648718,0,3,PASS: direct + composed hops via RQM walk (no transitive teach)
E10_future_prediction,c59b9fe,952594,8,10,4,1,1.000000,1.000000,1.000000,26.527000,31.717000,41.066000,41.066000,0.874412,0.029872,0.844539,0.134560,0,1,7,2.715866,0,3,PASS_PARTIAL: distance/bifurcation/perturbation via compose+wave
