experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E29_causal_intervention,0xA305,0aeaa14,,,0.964503,0.977236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,a5df5cc06162e7d0421fd671afab02a3aacfb74cc0907b5b180b900ef47568c7,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.965 targeted=0.863 random=0.956 rollback=0.965; drop_t=0.101 drop_r=0.009 rollback_ok=true"
E30_serialize_reload_persistence,0xA305,0aeaa14,,,0.983821,0.982150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,f3d44cfd837d07b01441a96dd0a99cb10446aec0c145affa4c89501a950dfc73,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.984 P1(enc+dyn)=0.984 P2(dyn+fresh_enc)=0.726 P3(cdt_stats)=0.982; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA306,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA306,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.985640,0.979200,0.967218,0.957370,0.000000,0.001197,0.165309,1.000000,0.999876,0.000000,0,28,10,12,6ebf97c9ba28eada68b96533a1ab785413c2d104f1547bc4041d5f5a093107d3,LOCKED,CLEAN,16800,PARTIAL,true,"continuous T; X_new/B_new outside train; MSE=0.0012 rel=0.1653 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C6,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.990318,0.913125,0.989582,0.960187,0.000000,0.000807,0.137682,1.000000,0.999964,-0.001025,0,28,10,12,f9ec9cab3e498c41218b01b577519b524c5651e69e89678bd6f211174651a3d6,LOCKED,CLEAN,16800,NULL,true,"C0=0.990 C1=0.990 C2=0.989 C3=0.991 C4=0.973 C5=0.991 C6=0.987; gain=-0.001; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD1F,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.988669,0.968253,0.982127,0.965730,0.000000,0.000944,0.149616,1.000000,0.999909,0.000000,0,28,10,12,d3f70b55e40f66b6e5753576d6646877918d560ac6a32d47daec942198dd3aed,LOCKED,CLEAN,16800,PARTIAL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA306,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.990710,0.997195,0.973382,0.941670,0.000000,0.000774,0.127092,1.000000,0.999949,0.000000,0,28,10,12,f7d24bc40899ca08e5417aab229999394e6475f300ed9055f2792828cf3314fd,LOCKED,CLEAN,16800,PARTIAL,true,"rule_cos=0.991 traj_cos=1.000 anti_cos=0.982; antimem_drop=0.008"
E21_interpolation_vs_extrapolation,0xA306,0aeaa14,translation_param,MODE_2_DYNAMIC_FIELD,0.910436,0.963456,0.902341,0.635722,0.000000,0.007464,0.421899,1.000000,0.999885,0.000000,0,20,6,6,c568fbf78001942087f12a8e4f045579742ac3d0864d9b531df276633249e80f,LOCKED,CLEAN,12000,NEGATIVE,true,"interp_cos=0.816 extrap_cos=0.910 (dx protocol; train dx in [-2,2] test dx=3)"
E22_composition_rqm_off,0xA306,0aeaa14,compose,MODE_2_DYNAMIC_FIELD,0.798054,0.917517,0.852348,0.775819,0.000000,0.016829,0.635047,1.000000,0.999907,0.000000,0,28,0,12,c0cf2f9e5768d3fa58b7ee7cd156a5eecb4697870a562b7bff2270f70ac0dc12,LOCKED,CLEAN,16800,NEGATIVE,true,"D_phi RQM-OFF compose; controls static=0.918 linear=0.852 nn=0.776 table=0.000; RQM compose=control only"
E23_rollout_no_teacher_forcing,0xA306,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,-0.269126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.620472,0.000000,0,28,0,12,e44219b21551130b09cb5d958a2d60c48b2cfe5678ab850f9e4c8ac5b2afd041,LOCKED,CLEAN,16800,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.997119005419488, 0.9869976327639146, 0.9332286132779942, 0.6204717427361123, 0.1379016150094436, -0.3674145536234614, -0.26912611777058093] energy [1.0, 1.0, 1.0, 0.9999999999999999, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA306,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.967039,0.960166,0.919366,0.856776,0.000000,0.002747,0.255461,1.000000,0.999869,0.000000,0,28,0,12,d16b68749bd732447136ef87f94d41e87c9902bd10fbf70033f58104ee138547,LOCKED,CLEAN,15120,NULL,true,"delta_mean=0.0069 median=0.0044 std=0.0197 bootstrap95%=[-0.0027,0.0187] effect≈0.349"
E25_central_experience_cdt_cycle,0x415D,0aeaa14,scaling,MODE_2_DYNAMIC_FIELD,0.998179,0.998338,0.992343,0.952809,0.000000,0.000152,0.059555,1.000000,0.999968,0.000579,0,28,10,12,79b7e0a27702a3db929544e1e5906019fc4f41cff2615592eada990596add227,LOCKED,CLEAN,16800,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.998 without=0.998 gain=0.001; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xADE0,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.988181,0.854166,0.989795,0.953698,0.000000,0.000985,0.150606,1.000000,0.999957,-0.006392,0,28,10,12,27aa6983f165b7d4060acd31e7f3b3a2f646ebc81fce22ba7d94b4c7d96999af,LOCKED,CLEAN,16800,NULL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.988 C1=0.988 C2=0.982 C3=0.989 C4=0.954 C5=0.989 C6=0.986; gain=-0.006; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xA306,0aeaa14,transfer_translation,MODE_2_DYNAMIC_FIELD,0.988207,0.986841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1315f5bba5d773ed5995432361226a6a8976cd01beeb7ea550a5351b97235884,LOCKED,CLEAN,15120,NULL,true,"B1=0.988 B2=0.988 B3=0.971; targets never in consolidation"
E28_continual_forgetting,0xA306,0aeaa14,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.994649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,30240,PARTIAL,true,"R1..R4 retention [0.9908715238981002, 0.9941828670327385, 0.9989029248196767, 0.994636947840255] forgetting=-0.004; CDT regularity replay"
E29_causal_intervention,0xA306,0aeaa14,,,0.975897,0.959210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,f6ada618a30d4119ca14b6d1c5058bb0ae4a18267db3a123f96e67c539dbff06,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.976 targeted=0.929 random=0.977 rollback=0.976; drop_t=0.047 drop_r=-0.001 rollback_ok=true"
E30_serialize_reload_persistence,0xA306,0aeaa14,,,0.962096,0.956597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,b6172c0f428c04c1c65238da64eb1eb7cd5e61f27476c4d3204b1228b9420a09,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.962 P1(enc+dyn)=0.962 P2(dyn+fresh_enc)=0.879 P3(cdt_stats)=0.957; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA307,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA307,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.984557,0.955517,0.956510,0.851522,0.000000,0.001287,0.175086,1.000000,0.999940,0.000000,0,28,10,12,236ee0c4a2261c07bfc20e066de8d4f9f70dafdb6beb974e1f3e57f2bf98859c,LOCKED,CLEAN,16800,PARTIAL,true,"continuous T; X_new/B_new outside train; MSE=0.0013 rel=0.1751 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
