experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
E22_composition_rqm_off,0xB302,ce282a2,compose,MODE_2_DYNAMIC_FIELD,0.878764,0.452620,0.878715,0.835859,0.000000,5.305203,0.432538,1.000000,0.999924,0.000000,0,120,0,24,0ce1a91d3a9731cbc6ce4e27126f224b3770734b8066f7921c7cb7659bdfd100,LOCKED,CLEAN,2140404,POSITIVE,true,"v3.7 mid-agree-gated hop2|shot(14/10) + disagree-lin∩mlp + Relative-static SoftScale-dyn RQM-OFF cos=0.879 static_rel=0.453 step1=0.876 pt_err=5.305; oracle-mid=0.845; soft-hybrid-diag=0.847; single-shot=0.900; linear=0.879 nn=0.836 table=0.000"
E23_rollout_no_teacher_forcing,0xB302,ce282a2,translation,MODE_2_DYNAMIC_FIELD,0.651778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.890768,0.000000,0,80,0,24,88af3849bfd46b5c0704eb281d32b66c037a917e887595c2731ecb30fcf4ea8a,LOCKED,CLEAN,1441600,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9985749146963849, 0.9955949745052212, 0.9762896030264043, 0.890767853173593, 0.1292065684140739, 0.28760261749338745, 0.651778007152651] energy [1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999999, 1.0] (v3.6: shared v3.5 mix retained; pure step eval; no TF; E22-focused levers)"
E24_static_vs_dynamic_paired,0xB302,ce282a2,,MODE_2_DYNAMIC_FIELD,0.987899,0.535153,0.939774,0.872468,0.000000,0.001008,0.144263,1.000000,0.999567,0.000000,0,80,0,24,024b7d49c02e1940cf408b480a47083bf2736af1032b8b61c18ad3b0d6afc908,LOCKED,CLEAN,1538674,POSITIVE,true,"v3.7 SoftScale-dyn + Relative-static; delta_mean=0.4527 median=0.3231 std=0.3196 bootstrap95%=[0.3453,0.5823] effect≈1.417; static=NO_ACTION"
E25_central_experience_cdt_cycle,0x5159,ce282a2,scaling,MODE_2_DYNAMIC_FIELD,0.803311,0.455279,0.653680,0.655984,0.000000,0.016391,0.584929,1.000000,0.999839,-0.014214,0,80,20,24,daa8393e278ee3cb00a992237e0f85a7abd2222108bab7ceb6b87d6e37b7b0bb,LOCKED,CLEAN,1729884,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.803 without=0.818 gain=-0.014; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xBDE4,ce282a2,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.649667,0.798475,0.724178,0.269195,0.000000,0.029194,0.793466,1.000000,0.999929,-0.046312,0,80,20,24,59f9f8107338e3b56dc8caf7041111f25ce2c6383fa653f88a1102d1c3aed5b3,LOCKED,CLEAN,1744122,PARTIAL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.650 C1=0.650 C2=0.603 C3=0.231 C4=0.763 C5=0.702 C6=0.193; gain=-0.046; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xB302,ce282a2,transfer_translation,MODE_2_DYNAMIC_FIELD,0.838788,0.818190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,667c7903af79d73136d7d5709028801962516076dd61724143a95541fee80628,LOCKED,CLEAN,1166446,PARTIAL,true,"B1=0.839 B2=0.664 B3=0.968; targets never in consolidation"
E28_continual_forgetting,0xB302,ce282a2,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.987821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,2421532,PARTIAL,true,"R1..R4 retention [0.9969532918706326, 0.9716352836632969, 0.9994205808061719, 0.9832748552644252] forgetting=0.014; CDT regularity replay"
E29_causal_intervention,0xB302,ce282a2,,,0.984466,0.991335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,39b910308994f46833afeeab79b2e95ed5eb73799a685705e116183ab1b8b338,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.984 targeted=0.974 random=0.984 rollback=0.984; drop_t=0.011 drop_r=0.001 rollback_ok=true"
E30_serialize_reload_persistence,0xB302,ce282a2,,,0.930062,0.980977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,f66e5c456be36f23b2bd2b059e47e5638fc6dd3fe1ebde43cc86b7114c8de323,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.930 P1(enc+dyn)=0.930 P2(dyn+fresh_enc)=0.714 P3(cdt_stats)=0.981; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xB303,ce282a2,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
